26.0	q2	q2 (25.75, 50.50]
14.0	q1	q1 (1.00, 25.75]
25.0	q1	q1 (1.00, 25.75]
94.0	q4	q4 (75.25, 100.00]
42.0	q2	q2 (25.75, 50.50]
47.0	q2	q2 (25.75, 50.50]
82.0	q4	q4 (75.25, 100.00]
80.0	q4	q4 (75.25, 100.00]
56.0	q3	q3 (50.50, 75.25]
57.0	q3	q3 (50.50, 75.25]
20.0	q1	q1 (1.00, 25.75]
86.0	q4	q4 (75.25, 100.00]
29.0	q2	q2 (25.75, 50.50]
21.0	q1	q1 (1.00, 25.75]
53.0	q3	q3 (50.50, 75.25]
3.0	q1	q1 (1.00, 25.75]
81.0	q4	q4 (75.25, 100.00]
35.0	q2	q2 (25.75, 50.50]
38.0	q2	q2 (25.75, 50.50]
6.0	q1	q1 (1.00, 25.75]
11.0	q1	q1 (1.00, 25.75]
40.0	q2	q2 (25.75, 50.50]
15.0	q1	q1 (1.00, 25.75]
17.0	q1	q1 (1.00, 25.75]
51.0	q3	q3 (50.50, 75.25]
76.0	q4	q4 (75.25, 100.00]
87.0	q4	q4 (75.25, 100.00]
78.0	q4	q4 (75.25, 100.00]
48.0	q2	q2 (25.75, 50.50]
4.0	q1	q1 (1.00, 25.75]
9.0	q1	q1 (1.00, 25.75]
43.0	q2	q2 (25.75, 50.50]
25.0	q1	q1 (1.00, 25.75]
27.0	q2	q2 (25.75, 50.50]
40.0	q2	q2 (25.75, 50.50]
2.0	q1	q1 (1.00, 25.75]
26.0	q2	q2 (25.75, 50.50]
12.0	q1	q1 (1.00, 25.75]
95.0	q4	q4 (75.25, 100.00]
66.0	q3	q3 (50.50, 75.25]
39.0	q2	q2 (25.75, 50.50]
5.0	q1	q1 (1.00, 25.75]
19.0	q1	q1 (1.00, 25.75]
91.0	q4	q4 (75.25, 100.00]
24.0	q1	q1 (1.00, 25.75]
51.0	q3	q3 (50.50, 75.25]
68.0	q3	q3 (50.50, 75.25]
85.0	q4	q4 (75.25, 100.00]
31.0	q2	q2 (25.75, 50.50]
29.0	q2	q2 (25.75, 50.50]
64.0	q3	q3 (50.50, 75.25]
20.0	q1	q1 (1.00, 25.75]
83.0	q4	q4 (75.25, 100.00]
3.0	q1	q1 (1.00, 25.75]
79.0	q4	q4 (75.25, 100.00]
67.0	q3	q3 (50.50, 75.25]
76.0	q4	q4 (75.25, 100.00]
49.0	q2	q2 (25.75, 50.50]
88.0	q4	q4 (75.25, 100.00]
73.0	q3	q3 (50.50, 75.25]
70.0	q3	q3 (50.50, 75.25]
60.0	q3	q3 (50.50, 75.25]
92.0	q4	q4 (75.25, 100.00]
84.0	q4	q4 (75.25, 100.00]
8.0	q1	q1 (1.00, 25.75]
1.0	q1	q1 (1.00, 25.75]
94.0	q4	q4 (75.25, 100.00]
81.0	q4	q4 (75.25, 100.00]
9.0	q1	q1 (1.00, 25.75]
44.0	q2	q2 (25.75, 50.50]
65.0	q3	q3 (50.50, 75.25]
11.0	q1	q1 (1.00, 25.75]
35.0	q2	q2 (25.75, 50.50]
56.0	q3	q3 (50.50, 75.25]
74.0	q3	q3 (50.50, 75.25]
53.0	q3	q3 (50.50, 75.25]
71.0	q3	q3 (50.50, 75.25]
57.0	q3	q3 (50.50, 75.25]
23.0	q1	q1 (1.00, 25.75]
10.0	q1	q1 (1.00, 25.75]
46.0	q2	q2 (25.75, 50.50]
17.0	q1	q1 (1.00, 25.75]
54.0	q3	q3 (50.50, 75.25]
33.0	q2	q2 (25.75, 50.50]
30.0	q2	q2 (25.75, 50.50]
42.0	q2	q2 (25.75, 50.50]
18.0	q1	q1 (1.00, 25.75]
75.0	q3	q3 (50.50, 75.25]
47.0	q2	q2 (25.75, 50.50]
63.0	q3	q3 (50.50, 75.25]
86.0	q4	q4 (75.25, 100.00]
36.0	q2	q2 (25.75, 50.50]
87.0	q4	q4 (75.25, 100.00]
61.0	q3	q3 (50.50, 75.25]
58.0	q3	q3 (50.50, 75.25]
59.0	q3	q3 (50.50, 75.25]
14.0	q1	q1 (1.00, 25.75]
55.0	q3	q3 (50.50, 75.25]
7.0	q1	q1 (1.00, 25.75]
99.0	q4	q4 (75.25, 100.00]
96.0	q4	q4 (75.25, 100.00]
13.0	q1	q1 (1.00, 25.75]
50.0	q2	q2 (25.75, 50.50]
34.0	q2	q2 (25.75, 50.50]
38.0	q2	q2 (25.75, 50.50]
90.0	q4	q4 (75.25, 100.00]
100.0	q4	q4 (75.25, 100.00]
69.0	q3	q3 (50.50, 75.25]
72.0	q3	q3 (50.50, 75.25]
80.0	q4	q4 (75.25, 100.00]
21.0	q1	q1 (1.00, 25.75]
77.0	q4	q4 (75.25, 100.00]
37.0	q2	q2 (25.75, 50.50]
28.0	q2	q2 (25.75, 50.50]
15.0	q1	q1 (1.00, 25.75]
78.0	q4	q4 (75.25, 100.00]
48.0	q2	q2 (25.75, 50.50]
97.0	q4	q4 (75.25, 100.00]
6.0	q1	q1 (1.00, 25.75]
22.0	q1	q1 (1.00, 25.75]
45.0	q2	q2 (25.75, 50.50]
41.0	q2	q2 (25.75, 50.50]
62.0	q3	q3 (50.50, 75.25]
82.0	q4	q4 (75.25, 100.00]
32.0	q2	q2 (25.75, 50.50]
93.0	q4	q4 (75.25, 100.00]
16.0	q1	q1 (1.00, 25.75]
98.0	q4	q4 (75.25, 100.00]
4.0	q1	q1 (1.00, 25.75]
52.0	q3	q3 (50.50, 75.25]
89.0	q4	q4 (75.25, 100.00]
